Tano_in,RHano_in,Pano_in,STC_ano,XH2_dry,Tcat_in,RHcat_in,Pcat_in,STC_cat,TCL_in,FR_CL,I,sa,ua,lambda_airin
°C,-,bar,-,-,°C,-,bar,-,°C,g/(s cm²),A,-,m/s,-
66.9,0.5335,2.362,1.689,0.9403,64.5,0.147,1.792,1.687,67.1,0.03,480.8,,,
64.3,0.5096,2.072,1.805,0.9444,58.6,0.164,1.601,1.706,60.1,0.02,300.8,,,
58.3,0.5441,1.495,2.348,0.9358,49.8,0.172,1.238,2.552,51.2,0.015,83.1,,,
66.9,0.4928,2.57,1.869,0.9356,61.4,0.194,2,1.6,63.4,0.03,480.8,,,
68.2,0.5234,2.402,2.155,0.93,60.9,0.174,1.932,1.6,63.4,0.02,300.8,,,
66.6,0.5034,1.423,2.63,0.8906,55.5,0.126,1.165,1.693,57.4,0.015,83.1,,,
58.3,0.5441,1.495,2.348,0.9358,49.8,0.172,1.238,2.552,51.2,0.015,83.1,,,
58.3,0.5441,1.495,2.348,0.9358,49.8,0.172,1.238,2.2,51.2,0.015,83.1,,,
58.3,0.5441,1.495,2.348,0.9358,49.8,0.172,1.238,1.9,51.2,0.015,83.1,,,
58.3,0.5441,1.495,2.348,0.9358,49.8,0.172,1.238,1.693,51.2,0.015,83.1,,,
58.3,0.5441,1.495,2.348,0.9358,49.8,0.172,1.238,1.6,51.2,0.015,83.1,,,
58.3,0.5441,1.495,2.348,0.9358,49.8,0.172,1.238,2.552,51.2,0.015,83.1,,,
58.3,0.5441,1.495,2.348,0.9358,49.8,0.172,1.238,2.552,54.2,0.015,83.1,,,
58.3,0.5441,1.495,2.348,0.9358,49.8,0.172,1.238,2.552,57.4,0.015,83.1,,,
58.3,0.5441,1.495,2.348,0.9358,49.8,0.172,1.238,2.552,60.4,0.015,83.1,,,
58.3,0.5441,1.495,2.348,0.9358,49.8,0.172,1.238,2.552,63.4,0.015,83.1,,,
58.3,0.5441,1.495,2.348,0.9358,49.8,0.172,1.238,1.693,51.2,0.015,83.1,,,
58.3,0.5441,1.495,2.348,0.9358,49.8,0.172,1.238,1.693,54.2,0.015,83.1,,,
58.3,0.5441,1.495,2.348,0.9358,49.8,0.172,1.238,1.693,57.4,0.015,83.1,,,
58.3,0.5441,1.495,2.348,0.9358,49.8,0.172,1.238,1.693,60.4,0.015,83.1,,,
58.3,0.5441,1.495,2.348,0.9358,49.8,0.172,1.238,1.693,63.4,0.015,83.1,,,
64.3,0.5096,2.072,1.805,0.9444,58.6,0.164,1.601,1.706,60.1,0.02,300.8,,,
64.3,0.5096,2.27,1.805,0.9444,58.6,0.164,1.8,1.706,60.1,0.02,300.8,,,
64.3,0.5096,2.402,1.805,0.9444,58.6,0.164,1.932,1.706,60.1,0.02,300.8,,,
64.3,0.5096,2.47,1.805,0.9444,58.6,0.164,2,1.706,60.1,0.02,300.8,,,
64.3,0.5096,2.67,1.805,0.9444,58.6,0.164,2.2,1.706,60.1,0.02,300.8,,,
64.3,0.5096,2.072,1.805,0.9444,58.6,0.164,1.601,1.706,57.1,0.02,300.8,,,
64.3,0.5096,2.072,1.805,0.9444,58.6,0.164,1.601,1.706,60.1,0.02,300.8,,,
64.3,0.5096,2.072,1.805,0.9444,58.6,0.164,1.601,1.706,63.4,0.02,300.8,,,
64.3,0.5096,2.072,1.805,0.9444,58.6,0.164,1.601,1.706,66.4,0.02,300.8,,,
64.3,0.5096,2.072,1.805,0.9444,58.6,0.164,1.601,1.706,69.4,0.02,300.8,,,
64.3,0.5096,2.072,1.6,0.9444,58.6,0.164,1.601,1.706,60.1,0.02,300.8,,,
64.3,0.5096,2.072,1.805,0.9444,58.6,0.164,1.601,1.706,60.1,0.02,300.8,,,
64.3,0.5096,2.072,2,0.9444,58.6,0.164,1.601,1.706,60.1,0.02,300.8,,,
64.3,0.5096,2.072,2.155,0.9444,58.6,0.164,1.601,1.706,60.1,0.02,300.8,,,
64.3,0.5096,2.072,2.4,0.9444,58.6,0.164,1.601,1.706,60.1,0.02,300.8,,,
66.9,0.5335,2.17,1.689,0.9403,64.5,0.147,1.6,1.687,67.1,0.03,480.8,,,
66.9,0.5335,2.362,1.689,0.9403,64.5,0.147,1.792,1.687,67.1,0.03,480.8,,,
66.9,0.5335,2.57,1.689,0.9403,64.5,0.147,2,1.687,67.1,0.03,480.8,,,
66.9,0.5335,2.77,1.689,0.9403,64.5,0.147,2.2,1.687,67.1,0.03,480.8,,,
66.9,0.5335,2.97,1.689,0.9403,64.5,0.147,2.4,1.687,67.1,0.03,480.8,,,
66.9,0.5335,2.362,1.689,0.9403,64.5,0.147,1.792,1.687,55.4,0.03,480.8,,,
66.9,0.5335,2.362,1.689,0.9403,64.5,0.147,1.792,1.687,59.4,0.03,480.8,,,
66.9,0.5335,2.362,1.689,0.9403,64.5,0.147,1.792,1.687,63.4,0.03,480.8,,,
66.9,0.5335,2.362,1.689,0.9403,64.5,0.147,1.792,1.687,67.1,0.03,480.8,,,
66.9,0.5335,2.362,1.689,0.9403,64.5,0.147,1.792,1.687,71.1,0.03,480.8,,,
